utterance_id,valence,arousal,dominance,emotion,text,audio_features,audio_waveform
Ses05F_impro07_F021,0.75,0.0,0.25,happy,: It's going to be ridiculous.  It's going to be so cool.,"[0.4213890745802989, -0.8508296646520579, -0.6809253988045307, -0.6455060652895849, 1.465348531139237, -0.6640000851924293, 1.6033216003065403, 0.46544240333365655, 0.2327322226646862, 1.177238877802396]","[1.0659821841693051, 0.22566094503523815, 0.18749862346416968, 0.3702496078963146, -1.5266290696208045, 1.18819324507028, 1.24927002715351, 0.4160488818895518, -1.7802432835181827, -0.8744057050165542, -0.6361171960830038, 0.43685975071268757, -1.4682824988935375, 0.6906124856751327, -0.4940350897672103, 0.9021904343985477, -0.5595953726032338, -0.7386118453525531, 1.4839514202053805, -0.57500938445036, 1.0596717860683076, -0.24831135394806617, 0.1866062555524065, -0.018163093101908133, -0.9547481959193492, -0.08381819518105396, -0.20710457203824606, 0.08519542239764381, -0.5690590432795518, 0.07938762385237141, -0.05882884146482739, 0.3062542369069418, -1.11039006489967, 0.01331741805461434, 1.7087892766457462, 0.6404680795980949, 0.11017518484745964, -0.40655227864279464, -1.7893953572085983, 0.8890276515540598, 2.317216003193967, -0.3035692729691588, 0.48978789727532596, -0.7426815345448361, -0.7226295733588493, -0.5785021193868101, -0.4319520084298991, 0.11768447120065806, -0.010341310168584325, -0.2039025892610553, -0.6976686697738793, -0.8136566976146477, 1.5497988412993104, -0.9645607887973278, -1.7620422016267678, 1.2866225606282655, 0.9132001525595791, 0.596140410291343, 0.017531615111146336, 1.0038527241998194, 0.49312443623537305, 0.06381396901335765, 0.12522801341998632, -1.0822761435195667, 0.8032675689520195, 0.45740684672543985, -1.5356595182715511, -1.6145032508725656, 0.0933752951933219, -0.7082384580302744, 1.5296631803492258, 1.5501872112158175, -1.3611907859388495, 0.3663470510209275, 2.496575399158709, -1.6098250215840342, -1.180027504721311, 0.5529277660198136, 1.831240277419623, -0.8617904695373392, 0.9461472066510842, 1.1350989615429585, 0.6557718096695282, -0.7569743711708338, 0.04642502247138784, 0.8710045324875737, -0.6272258492750225, -0.5732310387874857, 0.2748411764956673, -0.46547234834047996, -0.6515736355379611, 2.50121390038961, -0.7896678129806448, 0.14895076716836514, 0.913624965443415, 0.4239089258524649, 2.1569630641666104, -0.8663838776816928, 0.39734667678889185, 0.25778970530366074]"
Ses01M_impro02_M007,-0.5,0.0,0.0,sad,": The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.","[1.3401097238380082, -1.1840262176664673, -0.8433240701770325, -0.47328686212150045, 1.0670180065483712, -1.7961076548739763, -0.8103298763891666, 1.1836925890060674, 1.2722458804976404, -0.48271458499215575]","[-0.043358923150865, 0.43047326109396106, -1.070494786229199, 0.13695850263380796, 0.6770360357522399, 0.21298941253247916, -0.7153093247508451, 0.6568860472015529, 0.1705216905540332, -2.0141910934744427, -1.3284670224325787, -0.3563386896249782, 0.9229708572891127, 0.7671636825079553, 1.166689736143747, 0.3761951658653317, -0.39558887228058653, 2.0507959598729073, -1.5895935384632303, 0.3853669226149599, 0.9969556073863406, -1.024427225259283, 2.074555149361867, -0.6927437082477863, 1.6462751829592486, -0.25321847402922254, -2.310069218352005, 0.37631917477209575, 0.6962136060498668, -0.7772062326234389, 0.006358555622976402, -2.1875235228603915, -0.06373690003570784, -0.3771120124158588, 0.17222314660028495, 0.22350609929820717, 0.1707782988665989, -0.06118346460518083, 0.40363836478828596, 0.9070967607563538, -0.6650502106474266, -0.5669635574608354, -0.6720417432524569, 0.4214815277100331, -0.5596572720688029, -2.13600745602491, -0.6716973125265215, 0.0863228570525881, 1.1434990669051694, -1.3054323204996081, 0.40169329785265784, -2.354281814751042, -0.3152851889468932, 1.1614299258295544, -0.2404159299667598, 0.06713266518384554, -1.0814408708476058, -1.5971893925938498, 1.035605649414573, -0.2918824144621217, -0.652314233211323, 0.17148291423255546, -0.5540740731339602, -0.29248608983874774, 1.0298258360178196, 0.10591667324549697, -1.4380874753934847, 0.15555597314056238, -0.37111037501775174, -0.5197833728523572, -1.5430171298713409, 1.0862354100954688, 0.2260527266082098, -1.6033409769133167, 0.3735836422203224, 0.7293021238169313, 1.44296885541947, 0.5086653809281771, 0.16676599121982458, -0.3766145294857358, 0.2560841007084097, -2.212768075501549, 1.0577670603970488, 0.5344177210583462, -1.9444328143228273, 0.9514026054151612, 1.8684296307001984, -0.21407448238971433, -0.001094126961505979, -0.3751188608584038, -1.441136713754198, 0.9493962968231806, 0.7717219359676557, -1.0983208070304493, 0.028152387236125696, 0.10348732884582951, 0.7911952483472475, 1.0235052492681993, -0.19393710916264043, 0.5766732263141328]"
Ses05F_impro02_F032,-1.0,0.0,-0.5,sad,: You'll have to send me pictures and letters everyday.,"[1.0015357537777763, -1.7096175703632521, -1.3517436559374376, -2.5001128620846544, -0.5782093086137426, 0.8107327425191699, -0.6083091179351278, 0.6719370139065808, 0.3914433291891978, -0.8663949847222144]","[-0.01722055776437579, -0.008164216422275931, 0.9847349306134638, -0.30099762204850294, -0.7155240282166245, -0.950897313065453, 1.0700783812625319, -1.2720758011090534, -1.3981753703856488, -1.8480257145811871, -0.31474610587422625, 2.2011287294919217, 0.2770496369181411, 0.8744176497113613, -1.8837303341332032, -0.8233318789545157, -0.21185627048589067, -0.5454460662462919, 0.46195455041597194, -0.25015688190844043, 0.33953051248811655, -0.9362314828919401, -0.6051626573365962, -0.30386666427939324, 1.225104542642247, 0.2634627250466236, -1.6520035673553863, -2.7419555656673893, 0.0028613401709162074, 0.02661671541317307, -0.3029795839888832, 0.05558197745327074, 0.4393170163540138, 1.184126559056535, 0.5998735306724986, -1.5324830124366438, -1.0241619786411675, -1.5533597113510549, -0.3626611670542515, 0.9957720696612085, 0.8831393027066271, 0.7660915059688859, -0.8230823738497639, -1.1667933466237284, 0.9795484345059221, -0.6221141109041896, 0.36673410424867214, -0.11185769805928585, -1.249511189202543, -1.0799370066839293, 0.4161773858976125, 1.0811029636747553, -0.2774063345494447, 0.9887815084387926, -0.389321996543914, 0.5929710597162233, -1.0513118871531972, 0.14017153150490097, 1.001279860723502, -0.8609992842257009, 1.2755353764558097, 2.0060653457069644, 1.3987573888873432, 0.0757819451783111, -0.17469378409794975, 1.1697478298435136, 0.04466243790901767, -0.9801493674016628, 0.5263744622330515, -0.6979478365390839, -1.6310542249835245, 0.799397586798719, -0.07520510193569792, 1.5205061042593562, 0.22206552787534226, -0.01013065834587339, -0.9882857187009082, 0.33127051864862067, 0.7464135112614066, 1.5279986770731022, -0.40370223302980385, 1.1250689666662816, 0.47939924456551564, 2.302564031415725, -0.5853389235381249, -0.7496170229031727, -1.1036651813833103, 2.2945106534491106, -0.8246412298699849, -1.1314526368314808, -0.8120389577151331, -0.14484694162523162, 0.392871475462269, -0.46789165487570256, -1.1089694437184299, -0.8664206283727474, -0.3074404466510413, -0.33526825072682287, -0.41156984233864624, 0.35901213732766074]"
Ses05M_impro04_M035,-0.25,0.0,0.25,angry,: You and me both.,"[-0.35356175318819644, 0.051212473608980826, 0.3873541429107431, 0.5554418848226648, -0.8430404198663153, -0.6659379324067013, -0.9059221531025885, 0.464530952283753, -1.3199999150454569, 1.4096454725203205]","[1.8501617501657126, 0.38938070762325244, -0.957655483813231, 0.5963872441554081, -0.763189131925747, 0.21770649245427554, -1.9840703295730369, 1.61351991823515, -0.6588870789959287, -0.16754397095092766, -0.009001997475231912, -0.003077443777482313, -0.6417225433373219, -0.2564322232701342, 0.926979770925631, -0.371716444854772, 1.4121896305295956, 1.2280555273055365, -0.5274583003442952, -0.2798069653574057, -0.9584476808944051, 3.302966669645428, -1.1781784266551445, -0.7131777579371437, -0.43455051367972797, 0.39217736015788257, -1.3553702655854323, 1.1797891319085108, -0.28931516012945047, 1.4509984280621078, 2.0998421943413335, -0.8239420297719294, 0.5525204665180865, 1.3852993188242693, -0.6531081201499676, 1.662544606419647, -0.27871065507116194, 0.12509184743808965, -0.8417641463703832, 0.5065244210725197, 0.04985488822279872, -1.0574627493214408, -0.20206694658058974, 0.47075888944960703, -0.10872127872560731, 0.773303952965899, -0.01675405225702369, 1.2358487210220435, 1.193685959971833, 1.6615673539599844, 0.1667255572765676, -1.232084434542632, -1.051847054472898, 0.07220292159808116, -0.6253070356093521, -1.2894705515539078, 0.23588576410879986, 0.10665940355216184, -1.7150075948996244, 0.47457015368375166, -0.9031092586320366, 0.05215865960505546, -0.2672583299772043, 1.631834950628469, -0.22702886089573995, 0.7071062514909933, -0.33020535905653914, -0.1276488089403458, -0.6023656337423947, 0.9763213582898014, -0.8010758053292836, 0.3340278524352838, -0.5162849882729279, 0.10777060263145982, -0.21775087601474336, 0.23601664995404667, -3.0716736398838305, -0.5576907478396844, -1.1621266966584274, -1.56132678285751, -1.6823686737054622, -0.1924770969479217, 1.9319540628055252, -0.8514064105956283, -0.6689769549663265, 2.5518545138255546, 0.889769393273314, -0.9445445431804446, 1.1557610398781628, -1.415205877856156, -0.3851334599931552, -0.0714292412777601, -0.11331000493856762, 0.06319029629927274, -0.15500278387729433, 0.24466363461679502, 0.010930976389470761, -0.5613295132316023, -1.0920744922768608, 0.8414514491458958]"
Ses01F_impro05_F018,-0.75,0.5,0.5,angry,: Do you understand who my husband is?,"[0.7931756187080966, -0.37993950847515556, 1.723918120579204, 0.4870532691971056, -0.16604582359135306, -0.767102408781664, -1.7688806311920333, 0.16309267336258837, -0.40819753462374525, 0.92530851539404]","[1.2386220623395052, 1.3101313788683708, -0.011641727177715023, 0.3438424473900515, -2.1640383258751235, -0.48518972167206487, 0.09974632672548144, 0.23259192260456235, 0.06599968806371144, 0.35206710953446974, 0.4155996497840237, -0.19375062892149789, 0.488250540976964, 0.11130161335453645, -0.16162355553506363, -1.943422083561231, 0.24609476138594838, -0.4572398105376044, -1.1818845591599891, 0.34985087317555313, 1.3185321807847212, 0.7799989274818457, -0.3616755699626345, -2.4464755507347853, 0.2176284034498714, 0.5406798423824826, -1.5039428969549558, 1.0994193111360235, 0.18733914066085175, -1.8618240840658922, -0.6167059742793496, 0.9459290671491907, -1.1321987797517845, -0.89787616410902, -0.2854770379017686, 1.877691562652841, 0.04332969852030371, 0.07225972296267237, -2.81600740975259, 0.6792574485163797, -1.5458093502740509, 0.2274943831124456, 1.5710986529613389, 1.1546171003362904, -0.9332729189274825, -1.674211961985451, -0.7298051583562248, -1.4796957027981217, -0.48762174736044617, 1.1880186368233951, 0.5970782378240951, -0.3752340105550528, 0.2958935429726059, 0.9633976921588975, -0.5404288621775623, -2.0101362912400584, -0.4937532418624459, -1.4859644714001472, 2.248954091541019, -1.7553100070174823, 1.1278970460444049, -1.0813104855259312, -0.28261140843563676, 2.2063831364652224, -1.064598937514766, -0.6883234872675706, 0.45906747463184033, 0.12750562920099964, 0.366552925822479, -0.3636046167621625, -0.6555706275894524, -0.7040503781951696, 0.3019310788722246, -0.4868090591776686, -1.6955278767397057, 0.8598001626389392, 0.8158294346852879, 1.1322021010125225, -1.8314995061032544, -0.5516173134016193, -1.20364788118349, 0.0690451607543008, 0.026717804385100942, -0.6094824075644322, 0.8754348679499068, -1.06777018713651, -0.13076688691447708, 0.34615797317486974, 1.775396156728251, 1.3791166477571173, 1.021204803190324, 1.2060407001985034, 0.6445469551315004, 0.3435888476488527, -0.3648782760267921, 0.029824291374523214, -0.3043860082253001, 1.141951186866934, -0.9958555427871766, -0.6558263835643294]"
Ses04F_impro04_F030,-0.75,0.75,1.0,angry,: What's my problem?  What's my problem? I don't have a job.,"[1.5971288859451123, -2.5125285217453808, -2.0921413906004283, 0.47140042508660185, 0.33229713628097696, -1.6583957275746615, 0.13062078808122632, -0.0010072034242856326, 0.5936312384535501, 0.9094999554496392]","[-0.8647997192382878, -0.04493118491667113, 0.03383589337474627, 0.6020025259604833, 0.2155632699079551, 0.27384539338056146, -0.2725001585908513, 0.9889605583566182, 0.1007409904064641, -1.4749143917404963, -1.24224342455581, -0.1909011853375545, 0.9301969079756359, -1.28871672379971, 0.7709726399144385, -1.1706680057486416, 0.12305474469422412, -0.11810466992103372, 1.9348510631243845, -0.6913384835778277, 1.0056706383380538, -0.07984063358731118, 0.7991691012930735, 0.07178743386303037, -0.39261666719349614, -0.27748496767062547, 0.9210994042890177, -1.3847160344233957, 0.6705077531550179, 0.7751168635114403, 0.017615047541837424, 1.1229545535181988, -1.525471620414063, 1.1528206791650828, -0.768150951514826, 0.041415942993760536, 1.2678790411917202, 0.7095694713199049, 0.5406770318442942, -0.362165235174981, -0.6984467762434784, -2.7706733698604102, -0.8047785222853351, -2.0005365875077636, -0.8702163365860794, -1.9513837808633077, 1.2117671388298108, 0.10335841093773705, -0.10056534006835205, -1.4292228386591157, -0.7021776816701821, -0.9262571246171246, 1.239126197558935, 0.0791408748212233, -0.1416425914517824, -0.51492419131826, 1.5361009208259404, -2.5712948993375884, 0.5104560024060502, 0.43578862177298583, -0.012254871719155918, -0.5349524907103701, 2.020431237433389, 1.27732811427528, 0.5611969271331106, -0.6722118871294338, -1.2059729072808618, -0.3131015895385753, -0.8832445444994698, -0.13052152404279277, -0.7196253615542515, 0.5684097809376234, 2.402237361136861, 0.19174793870192425, 1.1107313361714901, 0.370821766368013, 0.9685848325083317, 0.77535401569329, -1.7359758077007132, -0.8750400360940787, -1.0571811475705, -0.07065799352477431, -0.2873496717245768, 0.08374674911604021, 0.786273752689069, -0.9610345040175251, -0.9218530723738935, 0.13234540275991657, -1.5445117523893186, 2.5425626844068003, 0.006284718164135801, 0.6439731237199207, -0.4936702957478031, -1.0863306777507946, 0.14970291942729858, 0.7667498573994358, 0.3238300723253428, 0.04595910331558791, -0.4330177950308528, 0.6335999728405788]"
Ses05M_impro04_F026,-0.25,0.0,0.25,neutral,": Sorry.  So, let's see.  What else?  What's available? What? Um.  Hmm.","[1.941292473008368, -1.035157513481593, 0.060340421972533545, 0.5259224666403195, 1.0216205457061598, -2.368210622386914, -2.4810823075520765, -1.1765510152294982, 0.7650686436702454, 0.12304523436087622]","[0.840637792488928, 0.4543723096212501, -0.48753037412278843, -1.0940659131915533, 1.2465987908208844, 0.9454039222579044, -0.5490842596656385, 0.9983817777847439, 0.06042256729023189, -0.27233906165502875, -0.7160847601114152, -0.9258018033546102, 0.8810808348667627, 0.4913647447171, 0.28432755785768066, -1.5764706867885283, -0.3965633762047758, -0.1769590163126575, 0.8490954708092122, -0.35178797917650884, -0.018716653418007642, 1.1593445792087675, -1.243639377977691, 0.3545625620740061, -1.164834910163913, -0.2758786759565611, 0.2837552346919756, -0.2017345576455985, -0.2291630295015576, -1.3163299779577686, -0.26457926796552345, 0.5270930116029628, 0.506354895834391, -0.2699681462043678, 0.1845497172207572, -0.7242431302232526, -1.362176294830898, 0.9462409678596029, 1.7425187585663633, 1.7422242145673172, -1.8536171107917063, -2.1814605423876445, -0.872487371246825, 0.610005332246104, 0.3345746919764761, -1.5661159929166388, 2.200650179284117, 1.237541032303403, 1.3369019429095517, 1.0452751720549096, 0.5217477897616724, 1.9579008614534905, 0.9224038342450507, -0.48519594678141387, -0.40503133986101386, 0.8396277396401833, -0.11080815170072948, -0.43131243427686183, 0.16953251009854708, -2.097130835777686, -0.21140832474606971, 0.10546493979617476, 3.1466490558065856, -0.33723873009663163, -0.40424277384842805, 1.9687828932806775, 0.3581167949802095, -0.5229338704525277, -0.6177795952200417, 0.857128821692916, -0.8021901534565811, 0.7235088032884448, -0.1459177444405529, 1.4562692483056574, 0.5970512411763049, -0.44972287609840017, -0.10726256121923332, 0.8091661034322012, -0.886298846092325, -1.5252479694580006, 0.95983445104601, 0.1783412255001369, 0.7569171544475625, 0.5763187042174596, -1.4214525567860885, -1.0062374738430806, 0.017360077142092985, 0.023710129278126935, -0.41513344737412816, -0.9641302645466342, -0.5085768727040672, 0.669720533471753, -0.5103260779580187, 0.3864571065088705, 0.3945206256686106, 1.3416092295158617, 0.24626846550643455, -1.02401659027569, 0.8899147930076071, -0.6185777409639043]"
Ses05F_impro03_F054,0.5,-0.5,-0.25,happy,: yeah.,"[0.8702520714180985, 1.4109018500498405, -0.727495218819733, -0.7398875195723675, -0.4087554967747081, 0.2684594811838831, 1.0407447473167566, -0.38259227223915687, -0.378108253722861, 1.8473009298175713]","[-1.4863988395852006, -1.2395921602045428, 1.0585282773582845, -0.5550732582908957, 1.0712750628596157, 1.5807501501586247, 1.3923347588392294, 0.07404721828777157, -1.6943738539099698, 0.944691361321455, 0.9425707827562263, 2.0101005409887915, 0.737848394794403, -1.4282913813898979, -1.52475153303552, -0.9723138051369213, -2.5219319802598554, -0.1504633736747337, -0.9466147270054949, 1.1919617592266234, -0.7887107958265737, -1.3278059716142665, -1.2400677774383784, -0.589543010538541, -0.5173036209395199, -0.3313313204581202, -0.667358417325999, -1.4450615713670525, -0.771967086790845, -0.3453752958784574, -0.1668259581074324, 0.5414610788718845, 0.7162757159816653, -1.5956250732714028, -0.9908749068123139, 0.3201607965860081, 0.05725863823576118, 0.3824218102284189, -0.4196869631450581, 2.9261406460161035, -0.6835608020469849, 0.4716593717675568, 1.7031734639580673, -0.7805213910575697, -0.7717083452061558, 0.1728925504722895, 0.017283613345981774, 0.38107919838370896, 0.05004216006326838, 0.0399309706096264, 1.643041940511697, 0.6256364781413309, 0.49654150981208206, 0.31359386585367993, -0.855594979613107, 1.6501463474091096, -0.1040053164321076, -0.4270801480406743, -0.6175614338052493, -0.2550011555836867, 0.428313861568373, -1.3005768427992008, -0.8629020768098195, -0.9326313885831788, 0.21841216420865953, 1.8698119582358708, 1.706549748445596, 0.5897484285587453, 2.1030789912672323, 0.9957376262397988, -0.22212940745690435, 0.6075029127386214, 1.2538044921961693, 1.304968461643542, 0.11943149968762769, 0.5221413361218339, 0.8728681303542722, 2.626669027538887, -0.6130973847792891, -1.711980670533945, -0.9003491514940696, -0.44112914087785887, 1.0244081149748738, -0.9001316262658545, 0.16231912371871265, 0.22435105627564855, -0.5770821645936, 1.5490283102743876, 0.38772624266245437, 1.9624836701073691, -1.427069917661427, 0.048397977903550625, -0.6199383740787299, 0.5371446244522173, 1.2499771107404563, -1.0152202695698191, -1.269872164878753, 0.2358627498231305, 0.3116367890719308, 0.502317770672021]"
Ses05M_impro04_F020,-0.25,-0.5,0.0,neutral,": Yeah, it's stressful.  I recognize that.","[-0.807319373710265, -0.49483214002288, -1.6095365114552078, -0.24874258165645968, -0.7467440493979451, -0.2816514884658703, -1.405925730152072, -1.853393565768768, -0.7731933271840478, -0.0003720050131144857]","[0.15652936826594266, 0.08944542064370291, 2.5171314173076436, 0.8916227429827005, 1.2535291193718918, 0.6202104342199052, -0.6112019349695949, -0.9370828102705534, 0.8784489612656302, 0.9694564808398869, -1.0015289454426481, -1.098366037864773, 0.7680238885527759, -1.4673357426512972, 0.13328281012049398, 0.4300125995342281, 0.1855661765925655, -0.6329763009026079, -0.7121170838132665, -0.178318790713569, 1.2347335091033311, 0.7453548453536634, -0.2170979144078485, -1.2324133424349828, -0.4482517643840993, -1.751576857834833, 0.9762121042315661, -0.6818038617256689, 0.9950507756942554, -1.1500522667186466, 0.5173505438878052, 1.0864155772339812, 1.8789187450768012, -0.5085270555063952, -1.8552973754341755, 0.04735621451400921, 1.0686813720605655, 1.212652867589657, -0.8903527434455633, 1.1908516547625283, -0.5086986630557065, 0.44208294002361626, 0.36748644413374815, 0.7457193950013344, -1.295643843221759, -1.0223748755049442, -0.12511156058266232, -0.40658574131842334, 0.054674436966058323, -0.011827139498356419, -0.10793172784721107, 0.36110668097964527, 0.5350479192109068, 0.6060102322547065, -0.6059150096665381, -0.769085480887245, 0.6033793443022978, 0.15561106135928277, -1.6330081502504992, 0.20397702207689694, 1.54954710715644, -0.16253061210700356, 1.3958179411923064, 1.4803937860276222, 0.5739209270630876, 1.2602839608177552, 0.9115471800046473, 0.8092910542514398, -0.4555868507972929, -1.5833954340581564, -2.163029423454095, 1.7669374112482148, 1.2708866234699312, -0.377631400105242, -0.6698894234149828, 0.3890939360897281, -0.04439287925028181, -0.7372270906117676, -0.6029872834239636, -0.04488036433080844, 2.523387030692648, -0.2730271727145696, -0.6089264347019854, 0.8673764142686883, -1.1803751556117428, -0.5509016055166537, -0.21120577985796105, 0.1410004581838812, -0.4388258816243264, 0.0480164317873862, 0.7131933093958345, 0.3678327301168635, 0.41458774346860844, 0.9677167810382055, -1.0427327865677187, 0.8335186370532507, -0.3074094375279348, -0.4503110910543988, -1.835604505429377, 0.16128884401489046]"
Ses05M_impro01_F012,-0.25,0.0,0.0,neutral,: Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,"[-0.01810796866558365, -0.03111857818091899, -0.7173241550277523, -0.8125599556740348, 0.8811435015556693, 0.07078996997629758, 0.7633951376967009, -0.7221971221347572, -0.10200025391755191, -0.29329558154862667]","[1.9698467928309569, -0.9422154638871665, -1.799929629742634, -1.6789886490276158, -0.035668888869020164, -0.4404814942054658, -0.4100077443592252, 0.6222727687874037, -1.0134301318481402, 1.138763234679148, -0.5525849877282785, 0.5692702957848379, 0.4919570172783896, 0.23004215487130236, 0.41826859080280077, -0.0004634387495071664, 0.6698192968902251, 1.040366458689159, 1.3575010862414498, 2.7878118683431548, 0.5115170362816903, -0.9279084726252788, 0.41499222593188906, 0.7019188211468306, 0.3101419966950809, 1.453679169154536, -0.11052617207284815, -0.04923593468304123, -0.7089671154112029, 0.302112101301863, 0.45019161354073156, 0.4268242339856469, 1.387456575426975, 1.1841569838798551, 0.45298215148136967, 2.7468211622457064, 0.7319589252933405, -0.2761310764732445, -0.22514952038353458, 0.6339622239747528, 1.1255294982357775, -0.13255632977846282, 0.8816572373680615, 1.3823078178288952, -0.31630569006722264, -0.8363205857786328, -0.18206101685469278, 0.5958611095884048, 0.5155588526792287, 0.3137318847272896, -0.8206276109775754, -0.4252580196739154, -0.5469133619190378, 0.19156564687143982, 0.14881881086962795, 0.8449455594560044, 0.4273136907283372, -1.08223958187182, 0.9303185795614892, 0.9178325216422064, -1.0344692625921872, 1.4137986693001343, 0.3726826370766549, 0.2765840834121793, -0.2020773307590589, 0.39372839705969515, -2.5138601291711753, -2.2999763878456645, -1.4009858270537268, 0.6927109991399466, -1.1310074417986136, 0.9853688049081302, 1.0996952132700797, -2.697598809281696, -1.838603152587417, 1.8003177665494923, -0.1712360581463101, -0.0455268276683246, -0.981800385721887, 1.4666746809638473, -0.5412850849467198, 0.8536872148306908, -1.4443146203090709, 1.9143632935006032, 0.04364709463994238, -0.09963253686107998, -1.2822328583506366, -1.3399031733200484, -1.4433549705209143, -0.7086676895004634, 1.2503026973968514, -0.22640144977080612, 1.2830244811563554, -1.4142815932034805, 0.2932309867997612, -0.6529263469049428, -1.277635864461709, 1.4051753907193911, -1.1163891099020309, 0.3734828461812383]"
